word	F	Ao	Ez		
conoist	1	1	0		
conoistre	1	1	0		
conpaignie	1	1	0		
conpaignons	1	1	0		
conree	1	1	0		
conseille	1	1	0		
contendra	1	1	0		
contenir	1	1	0		
contratandant	1	1	0		
contredeïst	1	1	0		
convoie	1	1	0		
corage	1	1	0		
corpable	1	1	0		
correcié	1	1	0		
correcier	1	1	0		
correciez	1	1	0		
corroit	1	1	0		
corssuz	1	1	0		
corsuz	1	1	0		
cortoisie	1	1	0		
costerai	1	1	0		
costoit	1	1	0		
couchast	1	1	0		
covandra	1	1	0		
coveitise	1	1	0		
covendra	1	1	0		
covertement	1	1	0		
coverz	1	1	0		
covienent	1	1	0		
covine	1	1	0		
covint	1	1	0		
creanta	1	1	0		
creante	1	1	0		
creüz	1	1	0		
Criator	1	1	0		
crie	1	1	0		
crienbroie	1	1	0		
Crist	1	1	0		
Criz	1	1	0		
croistre	1	1	0		
Croiz	1	1	0		
cruieus	1	1	0		
cuidier	1	1	0		
cuidoie	1	1	0		
D	1	1	0		
Damedé	1	1	0		
Damedex	1	1	0		
damoisele	1	1	0		
damoiseles	1	1	0		
danpne	1	1	0		
dans	1	1	0		
danz	1	1	0		
darreainne	1	1	0		
David	1	1	0		
deboenneires	1	1	0		
debonaires	1	1	0		
decolpez	1	1	0		
deffandu	1	1	0		
degrez	1	1	0		
deguerpir	1	1	0		
deïsse	1	1	0		
delai	1	1	0		
delaier	1	1	0		ici
delaieroiz	1	1	0		
delaoit	1	1	0		
delivre	1	1	0		
demanderiez	1	1	0		
demorer	1	1	0		
demorra	1	1	0		
depeceor	1	1	0		
depiecent	1	1	0		
derrieres	1	1	0		
descendirent	1	1	0		
descendoit	1	1	0		
desconseilliees	1	1	0		
descuevre	1	1	0		
desesperez	1	1	0		
desfandeors	1	1	0		
desfanderres	1	1	0		
desfandu	1	1	0		
desfandue	1	1	0		
desfanse	1	1	0		
desfense	1	1	0		
desferrer	1	1	0		
desferrera	1	1	0		
desferrez	1	1	0		
desgarniz	1	1	0		
desmesure	1	1	0		
despendié	1	1	0		
despiseor	1	1	0		
dessirrez	1	1	0		
destornoit	1	1	0		ici
Desus	1	1	0		
detenoit	1	1	0		
devenist	1	1	0		
deviez	1	1	0		
devisees	1	1	0		
deviserai	1	1	0		
devisez	1	1	0		
devisier	1	1	0		
devision	1	1	0		
devoient	1	1	0		
di	1	1	0		
diemanche	1	1	0		
digneté	1	1	0		
dioiz	1	1	0		
dismes	1	1	0		
disoient	1	1	0		
dobles	1	1	0		
dolors	1	1	0		
dolz	1	1	0		
